initial key,initial value,assigned workspace,assigned bucket,assigned key name,is merged
andpoe.accom_cips_problem_resolution_confirmation_popup_cancel_button,Change,accommodation,accommodation_cips,problem_resolution_confirmation_popup_cancel_button,FALSE
andpoe.accom_cips_problem_resolution_confirmation_popup_confirm_button,Submit,accommodation,accommodation_cips,problem_resolution_confirmation_popup_confirm_button,FALSE
andpoe.accom_cips_problem_resolution_list_title,Choose a solution below to address the problem you''re currently facing:,accommodation,accommodation_cips,problem_resolution_list_title,FALSE
andpoe.accom_cips_problem_resolution_selected_reason_title,Your check-in problem:,accommodation,accommodation_cips,problem_resolution_selected_reason_title,FALSE
andpoe.accom_cips_status_refund_button,Refund,accommodation,accommodation_cips,status_refund_button,FALSE
andpoe.accom_cips_status_request_failed_description,An issue occurred during your request process. Please try again.,accommodation,accommodation_cips,status_request_failed_description,FALSE
andpoe.accom_cips_status_request_failed_retry,Resend Request,accommodation,accommodation_cips,status_request_failed_retry,FALSE
andpoe.accom_cips_status_request_failed_title,Failed to proceed your request,accommodation,accommodation_cips,status_request_failed_title,FALSE
andpoe.accom_clear_coupon_snack_bar_text,Coupon(s) have been removed because of the changes you’ve made. Return to the previous page to find & apply eligible coupons for your booking.,accommodation,accommodation_clear,coupon_snack_bar_text,FALSE
andpoe.accom_common_no_smoking_label,Non-smoking,accommodation,accommodation_common,no_smoking_label,FALSE
andpoe.accom_common_no_wifi_label,No WiFi,accommodation,accommodation_common,no_wifi_label,FALSE
andpoe.accom_common_smoking_label,Smoking allowed,accommodation,accommodation_common,smoking_label,FALSE
andpoe.accom_common_wifi_label,WiFi,accommodation,accommodation_common,wifi_label,FALSE
andpoe.accom_cross_sell_unified_page_title,Details about Flyer Deals,accommodation,accommodation_cross,sell_unified_page_title,FALSE
andpoe.accom_cross_sell_unified_remaining_days_badge_pill_one,Tomorrow!,accommodation,,,FALSE
andpoe.accom_cross_sell_unified_remaining_days_badge_pill_others,in {0} days!,accommodation,,,FALSE
andpoe.accom_cross_sell_unified_remaining_days_badge_pill_zero,Today!,accommodation,,,FALSE
andpoe.accom_curation_about_close_button,Back to list,accommodation,accommodation_curation,about_close_button,FALSE
andpoe.accom_curation_about_description,"Travelers’ Picks are selected stay recommendations from other travelers, grouped by popular themes. Out of more than 1 million accommodations, only a very few make the Top 10 lists. ",accommodation,accommodation_curation,about_description,FALSE
andpoe.accom_curation_about_detail_description_popularity,<![CDATA[<b><font color=#0071CE>Popularity</font></b>: Often chosen by travelers as places to stay.]]>,accommodation,accommodation_curation,about_detail_description_popularity,FALSE
andpoe.accom_curation_about_detail_description_rating,<![CDATA[<b><font color=#0071CE>High rating and reviews</font></b>: Consistently receive high rating and have significant number of positive reviews from verified users.]]>,accommodation,accommodation_curation,about_detail_description_rating,FALSE
andpoe.accom_curation_about_detail_description_thematic,"<![CDATA[<b><font color=#0071CE>Thematic excellence</font></b>: Align with a specific theme, selected based on the number of reviews mentioning features and experiences related to to the theme.]]>",accommodation,accommodation_curation,about_detail_description_thematic,FALSE
andpoe.accom_curation_about_detail_title,What’s the ranking based on?,accommodation,accommodation_curation,about_detail_title,FALSE
andpoe.accom_curation_destination_dialog_title,Select a destination,accommodation,accommodation_curation,destination_dialog_title,FALSE
andpoe.accom_curation_geo_picker_popular_geo_grid_see_less_button,See less,accommodation,accommodation_curation,geo_picker_popular_geo_grid_see_less_button,FALSE
andpoe.accom_curation_geo_picker_popular_geo_grid_see_more_button,See more,accommodation,accommodation_curation,geo_picker_popular_geo_grid_see_more_button,FALSE
andpoe.accom_curation_geo_picker_search_bar_hint,Search destination,accommodation,accommodation_curation,geo_picker_search_bar_hint,FALSE
andpoe.accom_curation_list_empty_change_destination_button,See other destinations,accommodation,accommodation_curation,list_empty_change_destination_button,FALSE
andpoe.accom_curation_list_empty_description,We’re currently still handpicking our best-in-class accommodations at this destination. Stay tuned!,accommodation,accommodation_curation,list_empty_description,FALSE
andpoe.accom_curation_list_empty_title,Travelers’ Picks will be here soon!,accommodation,accommodation_curation,list_empty_title,FALSE
andpoe.accom_curation_list_item_number,No.,accommodation,accommodation_curation,list_item_number,FALSE
andpoe.accom_detail_map_autocomplete_result_too_far_tooltip_message,The distance between your searched location and this hotel is too far. Try finding a closer place nearby.,accommodation,accommodation_detail,map_autocomplete_result_too_far_tooltip_message,FALSE
andpoe.accom_detail_map_autocomplete_result_too_far_tooltip_title,The place you searched is too far,accommodation,accommodation_detail,map_autocomplete_result_too_far_tooltip_title,FALSE
andpoe.accom_detail_map_explore_area_button,Explore the area,accommodation,accommodation_detail,map_explore_area_button,FALSE
andpoe.accom_detail_map_recenter_button,Recenter,accommodation,accommodation_detail,map_recenter_button,FALSE
andpoe.accom_detail_map_search_bar_clear_button,Clear,accommodation,accommodation_detail,map_search_bar_clear_button,FALSE
andpoe.accom_detail_map_search_bar_hint,Search places (e.g. Uluwatu Temple),accommodation,accommodation_detail,map_search_bar_hint,FALSE
